epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.527,2.20885,2.6535,0.01356,0.44382,0.41502,0.35349,0.15551,1.98005,2.0445,0.01473,0.000332474,0.000332474,0.0670851
2,365.676,1.88142,2.02298,0.01038,0.48483,0.45275,0.39904,0.18995,1.70562,1.93196,0.01163,0.000665767,0.000665767,0.034085
3,458.448,1.82445,1.88133,0.00994,0.49055,0.5009,0.43498,0.21293,1.65504,1.76351,0.01098,0.000998897,0.000998897,0.00108481
4,550.815,1.76069,1.78702,0.00919,0.52425,0.52432,0.49918,0.24812,1.69138,1.57371,0.01095,0.00099945,0.00099945,0.00099945
5,643.393,1.73826,1.73893,0.00906,0.58594,0.51411,0.52159,0.24855,1.67633,1.64706,0.01091,0.000999023,0.000999023,0.000999023
6,735.723,1.71441,1.68071,0.00857,0.58843,0.53934,0.5388,0.26498,1.63572,1.5292,0.01017,0.000998474,0.000998474,0.000998474
7,828.07,1.71341,1.63281,0.00865,0.61138,0.55075,0.56969,0.28451,1.68696,1.43372,0.01062,0.000997803,0.000997803,0.000997803
8,920.517,1.68063,1.60981,0.00815,0.58819,0.55375,0.56079,0.28012,1.60946,1.45808,0.00924,0.000997011,0.000997011,0.000997011
9,1012.15,1.6605,1.5732,0.00789,0.58458,0.53921,0.55904,0.29113,1.62757,1.41752,0.00906,0.000996097,0.000996097,0.000996097
10,1105.56,1.65108,1.53539,0.00775,0.63819,0.54348,0.57163,0.29028,1.64774,1.41518,0.00916,0.000995062,0.000995062,0.000995062
11,1197.81,1.64954,1.53804,0.00792,0.61609,0.54835,0.57913,0.29755,1.61845,1.39684,0.00964,0.000993906,0.000993906,0.000993906
12,1292.16,1.61257,1.53538,0.00765,0.60164,0.56148,0.58755,0.31775,1.54227,1.42457,0.00943,0.000992629,0.000992629,0.000992629
